month,trades,net40_r,expectancy_net40,parent
2024-06,5,-3.1664634435453616,-0.6332926887090723,P6_D14_ALL
2024-07,25,0.053772235635827226,0.002150889425433089,P6_D14_ALL
2024-08,40,-8.03573212666665,-0.20089330316666626,P6_D14_ALL
2024-09,32,-6.431428901297956,-0.20098215316556112,P6_D14_ALL
2024-10,40,5.82818789105824,0.14570469727645602,P6_D14_ALL
2024-11,5,-3.027982018932807,-0.6055964037865614,P6_D14_ALL
2024-12,6,3.0516620023950685,0.5086103337325114,P6_D14_ALL
2025-01,34,-1.649547126878918,-0.048516091967027,P6_D14_ALL
2025-02,34,11.095614944272565,0.32634161600801664,P6_D14_ALL
2025-03,36,1.632771067349031,0.04535475187080642,P6_D14_ALL
2025-04,31,2.242212973154067,0.07232945074690539,P6_D14_ALL
2025-05,24,2.4626265717834848,0.10260944049097853,P6_D14_ALL
2025-06,22,-4.320123760003489,-0.1963692618183404,P6_D14_ALL
2025-07,23,-0.060483477283181486,-0.002629716403616586,P6_D14_ALL
2025-08,17,-12.055474271703199,-0.7091455453943059,P6_D14_ALL
2025-09,43,6.220994807576162,0.1446742978506084,P6_D14_ALL
2025-10,32,14.6016454614054,0.45630142066891877,P6_D14_ALL
2025-11,18,-4.480915121605632,-0.24893972897809066,P6_D14_ALL
2025-12,41,2.811511376749265,0.06857344821339671,P6_D14_ALL
2026-01,38,3.407662278400865,0.08967532311581224,P6_D14_ALL
2026-02,23,7.459076215128295,0.32430766152731716,P6_D14_ALL
2026-03,12,-3.1036120954011928,-0.2586343412834327,P6_D14_ALL
2026-04,0,0.0,,P6_D14_ALL
2026-05,0,0.0,,P6_D14_ALL
2026-06,0,0.0,,P6_D14_ALL
