signal_ts,confirm_ts,exit_ts,side,z,atr,entry,exit,R,spread_atr_entry,kind,mfe_atr,confirm_lag_s
1781297100,1781299211,1781313724,SELL,1.0603617032853545,312.34207589285717,63657.44921875,63610.59790736607,0.12000000000000106,0.003201617960505041,be,0.9391871249220588,2111
1781313900,1781314335,1781314730,SELL,1.8631686267807719,134.36997767857142,63526.01953125,63505.86403459821,0.12000000000000743,0.007442138618137722,be,0.6697052630704636,435
1781325000,1781329431,1781330184,SELL,1.0287312274784062,98.76618303571429,63594.98046875,63580.16554129464,0.12000000000000673,0.010124923017814666,be,0.7405431975998508,4431
1781336400,1781337025,1781337459,BUY,-1.645336553286749,111.85379464285714,63618.078125,63478.26088169643,-1.0000000000000075,0.01232775565999142,stop,0.0059019566757466,625
1781348400,1781350553,1781355022,BUY,-1.38291201461358,102.79464285714286,63869.62890625,63741.13560267857,-0.9999999999999918,0.00972813341440111,stop,0.1909906192999218,2153
1781359200,1781359665,1781361113,BUY,-3.0843163355486887,96.28069196428571,63857.75,63872.192103794645,0.12000000000001727,0.010386298432202163,be,0.9047439649926102,465
1781370000,1781370156,1781377428,BUY,-1.0638677005395236,98.822265625,64111.328125,64126.15146484375,0.12000000000001178,0.010119177026305907,be,2.107318615728205,156
1781381100,1781381247,1781383656,BUY,-1.4358069468809973,133.29994419642858,63983.75,64003.744991629464,0.12000000000000124,0.007501878609389488,be,0.7946716567555631,147
1781408100,1781408710,1781411657,BUY,-1.0778942442643276,91.09626116071429,64540.51171875,64554.17615792411,0.11999999999999451,0.01097739893227643,be,1.548242054096769,610
1781419500,1781419848,1781420593,BUY,-1.0897480793182834,91.58370535714286,64472.80078125,64486.53833705357,0.11999999999999636,0.012326496788895793,be,0.6492523671992103,348
1781430300,1781430909,1781433483,BUY,-1.2289260950044092,90.27845982142857,64254.30859375,64267.85036272321,0.11999999999998895,0.011076839392010087,be,0.9141854010718325,609
1781441100,1781441488,1781444411,BUY,-1.9292506705162376,105.36551339285714,64569.1015625,64584.90638950893,0.11999999999999211,0.009490771389984906,be,0.6729920821968594,388
1781465400,1781466498,1781470879,SELL,1.0273272825094368,139.94001116071428,64046.87109375,63736.290318080355,1.775508080032711,0.007145919109950254,trail,2.7193851000408737,1098
1781476200,1781477182,1781479255,SELL,1.8281632104062904,124.0234375,63716.91015625,63871.939453125,-1.0,0.012503937007874015,stop,0.0,982
1781487000,1781487322,1781488717,BUY,-1.6738100695183353,275.5092075892857,65302.94140625,65344.267787388395,0.12000000000000603,0.007557029647821354,be,0.7943813454186394,322
1781497800,1781498225,1781499033,BUY,-1.4070275310233034,277.81082589285717,65482.25,65523.92162388393,0.12000000000000119,0.003599571747379162,be,0.7476704222466389,425
1781508600,1781511691,1781516081,BUY,-1.3051860937067463,198.849609375,65766.2578125,65796.08525390625,0.1199999999999883,0.006364734655390871,be,0.8324444313482826,3091
1781541000,1781548965,1781553787,BUY,-1.2271906981886116,208.20647321428572,66871.8203125,66903.05128348214,0.11999999999999679,0.00821750387289403,be,1.8373062882934073,7965
1781553900,1781553936,1781555591,BUY,-1.2452022597653252,204.01004464285714,66912.5390625,66657.52650669643,-0.9999999999999756,0.00490171943126925,stop,0.16753923837346069,36
1781564700,1781566256,1781568300,BUY,-2.0169476995215527,212.97433035714286,66611.28125,66469.5078125,-0.5325465740862046,0.004695401545919036,signal,0.16826411633695795,1556
1781575500,1781576543,1781578402,SELL,1.9119012203904397,161.3671875,66118.421875,66320.130859375,-1.0,0.006197046719922537,stop,0.16107480029048657,1043
1781613300,1781613429,1781615100,SELL,1.2164432388540685,192.21149553571428,66593.0390625,66488.90625,0.4334093013938446,0.005202602462526456,signal,0.7928278408909457,129
1781643900,1781644574,1781666174,SELL,1.9244216413436452,202.48911830357142,65998.3984375,65722.9375,1.088299222428454,0.004938536985976705,time,2.3163088845437847,674
1781666400,1781666492,1781671232,SELL,2.0391687965712104,117.03515625,65693.5234375,65675.9681640625,0.11999999999996021,0.046460398518073494,be,2.033610360134842,92
1781688000,1781688307,1781691719,SELL,3.088729030400979,117.74274553571429,65789.0703125,65504.172154017855,1.9357330742434795,0.008493092253370933,trail,2.919666342804332,307
1781698800,1781698919,1781701280,SELL,2.1944026772176892,196.009765625,64915.62890625,64886.22744140625,0.12000000000000594,0.005101786621760316,be,0.5807268053050609,119
1781715300,1781716512,1781717146,BUY,-1.174040384741162,201.64146205357142,65388.328125,65136.27629743303,-1.0000000000000124,0.0049592975066522944,stop,0.1784378489600558,1212
1781726100,1781726899,1781730365,SELL,3.2897380413089716,325.93833705357144,65784.703125,64941.39104352678,2.069869016567045,0.005081482635556853,trail,3.0873362707087963,799
1781736900,1781744583,1781751879,SELL,1.2372231375788831,527.5474330357143,63926.6796875,64586.113978794645,-1.000000000000003,0.0019177777895310274,stop,0.07233502403833439,7683
