signal_ts,entry_ts,exit_ts,side,R,entry_overlap,any_lifetime_overlap,same_core_overlap_count,opposite_core_overlap_count,later_core_same_entries,later_core_opposite_entries,branch,align_tf,response_ratio,confirm_min,abs_z
1626862500,1626862620,1626885000,-1,-1.0021263094902897,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,638563554.1932514,2.0,1.2239126040988102
1626888300,1626889440,1626975840,1,0.24755958118267823,NONE,True,0,1,0,1,STRONG_RESPONSE_GE_2.50,H1_ALIGN,2.970927129453554,19.0,1.6854113569214608
1627639200,1627639380,1627675140,-1,-1.001717425568983,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,409907120.74303603,3.0,1.2413079827448472
1627856400,1627856460,1627942860,-1,1.05966239032497,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,715192318.0349249,1.0,1.326703882305978
1627943700,1627946820,1628033220,-1,0.7144565646454828,CORE_SAME,True,2,0,1,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.8181264725983235,52.0,1.937822972329098
1628100600,1628105400,1628148300,1,-1.002233485853324,NONE,True,1,0,1,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.5158059463923192,80.0,1.790905833318688
1628155500,1628155560,1628174940,-1,-1.0024219037021598,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,17.866052850382868,1.0,1.0669345536230628
1628186400,1628188020,1628274420,1,0.9961322028656598,NONE,True,0,1,0,1,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.5282646671190648,27.0,1.9141008455645623
1628479800,1628482740,1628500980,-1,-1.0015793462206037,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.5003887541337136,49.0,1.2165089142860603
1628749200,1628749980,1628836380,-1,-0.6662360645362049,NONE,True,0,1,0,1,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.664801689856234,13.0,1.9291406513234362
1629025200,1629025500,1629063960,-1,-1.0020786200225513,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,398801945.0910798,5.0,1.435309400584358
1629132000,1629134760,1629221160,-1,0.3879108891463387,CORE_SAME,True,1,0,0,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.9336093317857561,46.0,2.023858092207104
1629221400,1629221460,1629307860,-1,-0.06717703925770936,NONE,True,0,1,0,1,STRONG_RESPONSE_GE_2.50,H1_ALIGN,372371898.5444419,1.0,1.7461839609395131
1629393000,1629393060,1629469200,1,2.220160344561568,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,379559196.4111455,1.0,1.6654961901815675
1629669300,1629669600,1629674460,-1,-1.0029656792222283,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,651621925.4709458,5.0,1.4498045595700653
1629778800,1629779400,1629812100,1,-1.003017530447935,CORE_OPPOSITE,True,0,1,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,2.575730326557948,10.0,1.1046645713232168
1629814200,1629814260,1629900660,-1,1.0098667213024934,CORE_SAME,True,2,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,367056365.09066254,1.0,2.0190043893055494
1629912900,1629913140,1629949980,1,-1.0021139343683996,CORE_OPPOSITE,True,1,1,1,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,3.2865890825337702,4.0,1.8732625314896003
1629955500,1629955620,1630042020,-1,0.4048523321270593,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,615476477.6839503,2.0,1.8732771864995894
1630077000,1630077300,1630163700,1,0.25384853521871514,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,399513320.1372871,5.0,1.5454416660143335
1630300200,1630303440,1630389840,-1,0.714234385168367,NONE,True,1,0,1,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.6468092176702114,54.0,2.0261781313575646
1630498200,1630498320,1630546380,1,2.2190460367442046,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,578421809.220659,2.0,1.6188810043518462
1630822800,1630822860,1630834800,-1,-1.0034956965319317,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,568142443.7853382,1.0,1.500228792830869
1631016000,1631017380,1631026740,-1,2.2203324920116607,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.5754722019786809,23.0,1.559859663426931
1631039400,1631047440,1631133840,-1,0.07419269769260203,NONE,True,1,0,1,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.7253279008414241,134.0,1.3185046032533076
1631498100,1631499660,1631540700,-1,-1.0016518081078027,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.9184497353379898,26.0,1.2745900545731572
1631603100,1631603160,1631689560,1,1.4752864536480952,CORE_SAME,True,2,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,303519724.5778022,1.0,1.2362801381958324
1631885100,1631885340,1631939340,-1,-1.0026621423312538,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,3.3590881171676594,4.0,1.9081923869692172
1632027600,1632027660,1632105180,-1,2.2184951640696444,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,392908341.7709976,1.0,1.164186356361307
1632326400,1632330960,1632417300,-1,-1.0015576708239173,NONE,True,0,1,0,1,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.5817849149062756,76.0,1.3148826856323137
1632420000,1632420060,1632474540,1,-1.0020707413998806,CORE_SAME,True,2,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,401429673.13284594,1.0,1.1520987327196215
