feed,period,shift_min,horizon,candidate_n,candidate_ev,complement_ev,incremental
AMP,VALID,-120,5,19,0.18733885628663458,-0.13845965880491493,0.3257985150915495
AMP,VALID,-120,15,19,-0.3522105756347288,-0.12988352766967778,-0.222327047965051
AMP,VALID,-60,5,30,-0.2624485579930864,-0.1267597311043428,-0.13568882688874362
AMP,VALID,-60,15,30,-0.20781285266514704,-0.132131840138655,-0.07568101252649204
AMP,VALID,-30,5,19,0.28079347413350364,-0.14052916665933274,0.4213226407928364
AMP,VALID,-30,15,19,0.27318484261620724,-0.14386295466587518,0.4170477972820824
AMP,VALID,-15,5,30,0.31753908842879064,-0.14730238682176464,0.4648414752505553
AMP,VALID,-15,15,30,2.2333108575997644,-0.21941874277029674,2.4527296003700614
AMP,VALID,-10,5,30,0.3375577357709869,-0.14801142982089793,0.48556916559188484
AMP,VALID,-10,15,30,1.496991903290585,-0.19309029386770382,1.6900821971582887
AMP,VALID,-5,5,21,0.6013083467828434,-0.14937666386403112,0.7506850106468745
AMP,VALID,-5,15,21,2.079282995589205,-0.18957304524016425,2.268856040829369
AMP,VALID,-3,5,27,1.2116427759221164,-0.17406271051184477,1.3857054864339613
AMP,VALID,-3,15,27,1.071147537441187,-0.17341328143372686,1.2445608188749138
AMP,VALID,-2,5,33,0.777693366884823,-0.16694648115209726,0.9446398480369202
AMP,VALID,-2,15,33,0.6870172986054536,-0.1671825003711315,0.854199798976585
AMP,VALID,-1,5,34,1.1210103598318375,-0.18191376182616062,1.302924121657998
AMP,VALID,-1,15,34,1.137836626331833,-0.18656220928331532,1.3243988356151482
AMP,VALID,1,5,55,0.12415891283510622,-0.1485008384319973,0.2726597512671035
AMP,VALID,1,15,55,0.8526919053410349,-0.2014632116093893,1.0541551169504242
AMP,VALID,2,5,48,0.3246993556695222,-0.1578100338447624,0.48250938951428457
AMP,VALID,2,15,48,0.8523446245314386,-0.1924549834759988,1.0447996080074373
AMP,VALID,3,5,37,-0.08577419486082202,-0.1334110759230006,0.04763688106217859
AMP,VALID,3,15,37,0.7387846480199488,-0.17359138393392323,0.9123760319538721
AMP,VALID,5,5,37,-0.40538239049620906,-0.11933309587715618,-0.2860492946190529
AMP,VALID,5,15,37,-0.05591651336874852,-0.13825010632408927,0.08233359295534075
AMP,VALID,10,5,33,0.41161073027118816,-0.15263282355938407,0.5642435538305722
AMP,VALID,10,15,33,0.9436425843538772,-0.17731244586120087,1.120955030215078
AMP,VALID,15,5,22,0.13147096078147766,-0.1381652749969163,0.26963623577839396
AMP,VALID,15,15,22,0.6514369780745954,-0.15516483231868602,0.8066018103932815
AMP,VALID,30,5,26,-0.8474900017551288,-0.10952315974093722,-0.7379668420141916
AMP,VALID,30,15,26,-0.6190267184875318,-0.11980819071839874,-0.499218527769133
AMP,VALID,60,5,30,-0.5277218359656126,-0.11736398336033357,-0.410357852605279
AMP,VALID,60,15,30,-0.8220522014571525,-0.11016857379329136,-0.7118836276638612
AMP,VALID,120,5,22,-0.5587393667632458,-0.12040547709518072,-0.438333889668065
AMP,VALID,120,15,22,-0.7273504741010549,-0.11935217122321465,-0.6079983028778403
