episode_id,rule,gc_t0_ms,event_utc,period,prediction,source_signal_direction,quiet_start,signal_index,elapsed_s,directional_balance,run_length_same_direction,direction_flips_so_far,hit1,hit2,hit3,fixed5m_ev_atr,mfe5_atr,mae5_atr
267,R1_EARLY_DOMINANCE_3,1786335390000,2026-08-10T04:16:30+00:00,TRAIN,-1,-1,False,3,150.0,1.0,3,0,,False,False,-3.174111574349667,0.6059162199722551,-2.9072860829860163
267,R3_RUN3_BEFORE240,1786335390000,2026-08-10T04:16:30+00:00,TRAIN,-1,-1,False,3,150.0,1.0,3,0,,False,False,-3.174111574349667,0.6059162199722551,-2.9072860829860163
267,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786335450000,2026-08-10T04:17:30+00:00,TRAIN,1,1,True,4,210.0,0.5,1,1,,True,True,2.7126887625027427,3.357913316336431,-0.1784663659545089
269,R5_DOMINANCE_REASSERT_AFTER_FLIP,1786336380000,2026-08-10T04:33:00+00:00,TRAIN,1,1,True,4,300.0,0.5,1,2,,False,False,1.2068965517248031,1.942006269593384,-0.3913270637408367
273,R1_EARLY_DOMINANCE_3,1786337940000,2026-08-10T04:59:00+00:00,TRAIN,-1,-1,False,3,150.0,1.0,3,0,,True,False,0.601641718976481,2.2172863351033465,-0.9362626750356222
273,R3_RUN3_BEFORE240,1786337940000,2026-08-10T04:59:00+00:00,TRAIN,-1,-1,False,3,150.0,1.0,3,0,,True,False,0.601641718976481,2.2172863351033465,-0.9362626750356222
275,R3_RUN3_BEFORE240,1786338870000,2026-08-10T05:14:30+00:00,TRAIN,1,1,False,3,210.0,1.0,3,0,,False,False,-0.7720588235293515,1.3414522058824752,-0.9136029411765846
275,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786338930000,2026-08-10T05:15:30+00:00,TRAIN,-1,-1,False,4,270.0,0.5,1,1,,True,False,0.2328950898842517,2.178696002146306,-0.4545210625171417
287,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786343850000,2026-08-10T06:37:30+00:00,TRAIN,-1,-1,True,4,270.0,0.0,1,3,,False,False,-1.7525977238988013,0.4779811974273467,-2.0643245917858453
299,R1_EARLY_DOMINANCE_3,1786348500000,2026-08-10T07:55:00+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.2286205414692355,0.4662655779972304,-0.3730124623984409
299,R2_EARLY_QUIET_DOMINANCE_3,1786348500000,2026-08-10T07:55:00+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.2286205414692355,0.4662655779972304,-0.3730124623984409
299,R3_RUN3_BEFORE240,1786348500000,2026-08-10T07:55:00+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.2286205414692355,0.4662655779972304,-0.3730124623984409
304,R1_EARLY_DOMINANCE_3,1786350540000,2026-08-10T08:29:00+00:00,TRAIN,-1,-1,True,3,150.0,1.0,3,0,,True,True,3.8895889588954375,4.486048604860863,-1.1425142514256963
304,R2_EARLY_QUIET_DOMINANCE_3,1786350540000,2026-08-10T08:29:00+00:00,TRAIN,-1,-1,True,3,150.0,1.0,3,0,,True,True,3.8895889588954375,4.486048604860863,-1.1425142514256963
304,R3_RUN3_BEFORE240,1786350540000,2026-08-10T08:29:00+00:00,TRAIN,-1,-1,True,3,150.0,1.0,3,0,,True,True,3.8895889588954375,4.486048604860863,-1.1425142514256963
305,R5_DOMINANCE_REASSERT_AFTER_FLIP,1786350990000,2026-08-10T08:36:30+00:00,TRAIN,1,1,True,4,240.0,0.5,1,2,,False,False,-1.3120072088308428,0.1545393106554925,-1.4570849290384027
306,R1_EARLY_DOMINANCE_3,1786351290000,2026-08-10T08:41:30+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-2.080652469415853,0.0,-2.017217942909054
306,R2_EARLY_QUIET_DOMINANCE_3,1786351290000,2026-08-10T08:41:30+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-2.080652469415853,0.0,-2.017217942909054
306,R3_RUN3_BEFORE240,1786351290000,2026-08-10T08:41:30+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-2.080652469415853,0.0,-2.017217942909054
