transition_time,destination,lag,window,seq_score,active_count,rank,top2
2020-02-20 04:00:00+00:00,EXPANSION,1,3,65.0,4.0,1.0,True
2020-02-20 04:00:00+00:00,EXPANSION,2,1,15.0,1.0,3.0,False
2020-02-20 04:00:00+00:00,EXPANSION,2,2,65.0,4.0,2.0,True
2020-02-20 04:00:00+00:00,EXPANSION,2,3,65.0,4.0,2.0,True
2020-02-20 04:00:00+00:00,EXPANSION,3,1,50.0,3.0,3.0,False
2020-02-20 04:00:00+00:00,EXPANSION,3,2,50.0,3.0,3.0,False
2020-02-20 04:00:00+00:00,EXPANSION,3,3,50.0,3.0,3.0,False
2020-02-21 00:00:00+00:00,PULLBACK,1,1,10.0,1.0,3.0,False
2020-02-21 00:00:00+00:00,PULLBACK,1,2,10.0,1.0,3.0,False
2020-02-21 00:00:00+00:00,PULLBACK,1,3,10.0,1.0,3.0,False
2020-02-21 00:00:00+00:00,PULLBACK,2,1,10.0,1.0,3.0,False
2020-02-21 00:00:00+00:00,PULLBACK,2,2,10.0,1.0,3.0,False
2020-02-21 00:00:00+00:00,PULLBACK,2,3,25.0,2.0,3.0,False
2020-02-21 00:00:00+00:00,PULLBACK,3,1,10.0,1.0,3.0,False
2020-02-21 00:00:00+00:00,PULLBACK,3,2,25.0,2.0,3.0,False
2020-02-21 00:00:00+00:00,PULLBACK,3,3,25.0,2.0,3.0,False
2020-02-25 16:00:00+00:00,EXPANSION,1,1,0.0,0.0,4.0,False
2020-02-25 16:00:00+00:00,EXPANSION,1,2,0.0,0.0,4.0,False
2020-02-25 16:00:00+00:00,EXPANSION,1,3,0.0,0.0,4.0,False
2020-02-25 16:00:00+00:00,EXPANSION,2,1,0.0,0.0,4.0,False
2020-02-25 16:00:00+00:00,EXPANSION,2,2,0.0,0.0,4.0,False
2020-02-25 16:00:00+00:00,EXPANSION,2,3,15.0,1.0,4.0,False
2020-02-25 16:00:00+00:00,EXPANSION,3,1,0.0,0.0,4.0,False
2020-02-25 16:00:00+00:00,EXPANSION,3,2,15.0,1.0,4.0,False
2020-02-25 16:00:00+00:00,EXPANSION,3,3,15.0,1.0,4.0,False
2020-02-29 04:00:00+00:00,PULLBACK,1,1,10.0,1.0,3.0,False
