flow_id,signal_time,side,frozen_signed12_atr,signal_close,atr14,level,distance_atr,distance_bin,oi_logchg_3h,oi_backed,touch_time,class_time,state,class_price,residual_atr,oi_flush,oi_flush_logchg
1066,2022-10-14 14:30:00+00:00,-1,1.9204733076499487,19379.3,103.82857142857158,19343.0,0.3496147495872242,<=0.5,-0.02841043050007741,False,2022-10-14 15:15:00+00:00,2022-10-14 16:00:00+00:00,ACCEPT,19251.6,0.6905613648871476,False,0.0007305266082653361
1067,2022-10-15 08:45:00+00:00,1,0.915824915824926,19061.1,29.70000000000047,19218.8,5.30976430976425,>2,0.009431598048411871,True,,,NO_TOUCH,,,,
1068,2022-10-16 01:00:00+00:00,-1,-0.1557591623036499,19115.2,43.65714285714239,18966.0,3.4175392670157603,>2,-0.009202371555129929,False,,,NO_TOUCH,,,,
1069,2022-10-16 19:30:00+00:00,-1,2.1101636321732697,19326.8,30.992857142856728,19080.0,7.963125144042489,>2,-0.019817973458726712,False,,,NO_TOUCH,,,,
1070,2022-10-17 08:00:00+00:00,1,5.748830245180656,19281.0,38.16428571428566,19415.9,3.534718323039534,>2,0.0025687296099139445,True,2022-10-17 11:00:00+00:00,2022-10-17 11:00:00+00:00,ACCEPT,19486.4,0.3668351113606593,False,0.029973730741867044
1071,2022-10-18 12:45:00+00:00,1,-8.879421221865003,19620.6,44.42857142857117,19706.4,1.9311897106110094,1-2,0.02571931881346501,True,,,NO_TOUCH,,,,
1072,2022-10-19 08:30:00+00:00,-1,-0.0444508587097853,19179.2,49.492857142856984,19136.0,0.8728532255736934,0.5-1,0.008189821690287147,True,2022-10-19 11:30:00+00:00,2022-10-19 12:15:00+00:00,REJECT,19162.4,-0.38389377976620126,False,0.0028796855738963956
1073,2022-10-20 00:45:00+00:00,-1,-2.958052822371797,18963.4,55.17142857142816,19050.0,0.0,<=0.5,0.001967289440559128,True,2022-10-20 00:45:00+00:00,2022-10-20 00:45:00+00:00,ACCEPT,18963.4,-2.9580528223717972,True,-0.0062890650495734945
1074,2022-10-20 12:45:00+00:00,1,-1.6930775646372027,19126.6,51.38571428571413,19270.8,2.8062274117320216,>2,-0.0030479001335965705,False,2022-10-20 14:15:00+00:00,2022-10-20 14:15:00+00:00,ACCEPT,19292.7,-4.925493466777928,False,0.015931968678394526
1075,2022-10-21 00:45:00+00:00,-1,4.1312674094707935,19039.6,41.02857142857101,18912.4,3.1002785515319937,>2,0.014288362350530548,True,2022-10-21 09:15:00+00:00,2022-10-21 10:00:00+00:00,REJECT,18973.2,2.5128830083566247,False,0.011058680433409407
1076,2022-10-21 12:45:00+00:00,-1,-3.608234448040254,18870.1,79.45714285714348,18600.0,3.399316792520631,>2,0.011274221245264116,True,,,NO_TOUCH,,,,
1077,2022-10-22 13:30:00+00:00,1,-1.3688327316486102,19196.4,23.742857142857247,19250.0,2.257521058965031,>2,0.0034953937518320544,True,,,NO_TOUCH,,,,
1078,2022-10-23 15:45:00+00:00,1,8.166332090622012,19180.6,24.90714285714395,19214.0,1.340980785775738,1-2,-0.0012104263111858415,False,2022-10-23 17:30:00+00:00,2022-10-23 17:30:00+00:00,ACCEPT,19231.6,6.11872669916813,False,0.028957711729427515
1079,2022-10-24 04:15:00+00:00,-1,0.4041017850360668,19302.3,56.42142857142868,19160.3,2.5167742752247073,>2,-0.02770926565966292,False,2022-10-24 14:15:00+00:00,2022-10-24 15:00:00+00:00,REJECT,19270.0,-0.16837574376503323,True,-0.0278438581660847
1080,2022-10-24 16:15:00+00:00,-1,-0.7160465384172486,19279.5,62.007142857143535,19146.0,2.1529777675382786,>2,-0.024391010556263026,False,,,NO_TOUCH,,,,
1081,2022-10-25 10:00:00+00:00,-1,-27.458085965328685,19250.4,30.078571428571585,19242.2,0.2726193303253612,<=0.5,0.011318062787488259,True,2022-10-25 10:00:00+00:00,2022-10-25 10:45:00+00:00,REJECT,19286.4,-26.261220612680862,True,-0.0009374669399733193
1082,2022-10-25 22:00:00+00:00,1,4.29246980210745,20076.3,111.17142857142815,20415.0,3.0466461063994013,>2,-0.0173895797244068,False,2022-10-26 08:30:00+00:00,2022-10-26 08:30:00+00:00,ACCEPT,20659.1,-0.9498843484965209,False,0.0008579151262626539
1083,2022-10-26 17:00:00+00:00,1,0.2662062928561148,20780.1,146.8785714285719,21030.0,1.701405436949866,1-2,-0.0022700589978637,False,,,NO_TOUCH,,,,
1084,2022-10-28 13:15:00+00:00,-1,-3.341920374707281,20334.5,85.39999999999989,19951.0,4.490632318501176,>2,-0.014141021677588128,False,,,NO_TOUCH,,,,
1085,2022-10-29 09:15:00+00:00,1,-0.4233508464681506,20888.1,61.17857142857117,20977.9,1.4678342089901297,1-2,0.03897270904838379,True,2022-10-29 10:15:00+00:00,2022-10-29 11:00:00+00:00,REJECT,20762.6,1.628021015761864,True,-0.0073578693576745735
1086,2022-10-31 14:00:00+00:00,-1,-1.6624552691155925,20338.4,97.80714285714281,20250.4,0.8997297889432562,0.5-1,-0.01638477799849447,False,2022-10-31 14:30:00+00:00,2022-10-31 15:15:00+00:00,REJECT,20372.4,-1.314832396114789,True,-0.03627466366501331
1087,2022-11-01 15:00:00+00:00,-1,-0.8887866589994292,20445.7,62.10714285714338,20320.0,2.0239217941345546,>2,0.006126848349198966,True,,,NO_TOUCH,,,,
1088,2022-11-02 19:30:00+00:00,-1,-0.0395552783179684,20274.4,194.6642857142854,20100.0,0.8959013686566706,0.5-1,-0.00838436702906975,False,2022-11-02 20:15:00+00:00,2022-11-02 21:00:00+00:00,REJECT,20138.1,-0.7397350750376117,True,-0.008711088254916177
1089,2022-11-03 07:45:00+00:00,1,-1.079200307573977,20293.8,37.15714285714265,20400.0,2.8581314878893087,>2,8.967586992802978e-05,True,,,NO_TOUCH,,,,
1090,2022-11-04 06:00:00+00:00,1,3.727300060132277,20563.0,47.514285714285506,20477.3,0.0,<=0.5,0.01585577236244262,True,2022-11-04 06:00:00+00:00,2022-11-04 06:00:00+00:00,ACCEPT,20563.0,3.7273000601322765,False,0.026218576769746704
1091,2022-11-04 18:00:00+00:00,-1,-5.825826201037063,20740.1,114.33571428571433,20350.0,3.411882301493083,>2,-0.04837092912019614,False,,,NO_TOUCH,,,,
1092,2022-11-07 01:30:00+00:00,-1,3.2423141667405555,20968.2,80.62142857142759,20811.0,1.9498538141224746,1-2,-0.01581684077608081,False,2022-11-07 06:15:00+00:00,2022-11-07 07:00:00+00:00,ACCEPT,20775.5,0.852130769912308,True,-0.010403329406782902
1093,2022-11-07 17:30:00+00:00,-1,16.16234137418547,20689.9,62.47857142857148,20563.2,2.0278952783811692,>2,-0.013962664180917628,False,2022-11-07 22:15:00+00:00,2022-11-07 22:15:00+00:00,ACCEPT,20437.3,12.119355207499716,True,-0.015543482965920674
1094,2022-11-08 05:30:00+00:00,-1,-0.3675082033081165,19680.1,213.32857142857134,19335.0,1.6176923592044403,1-2,-0.01862763872818718,False,2022-11-08 14:30:00+00:00,2022-11-08 15:15:00+00:00,ACCEPT,19280.5,-2.2406750150673016,True,-0.0020022457864588006
1095,2022-11-08 17:30:00+00:00,1,-4.431717428290713,19758.5,298.0785714285718,20685.0,3.1082408760873173,>2,-0.0708954143082714,False,,,NO_TOUCH,,,,
1096,2022-11-09 05:30:00+00:00,1,-9.853694654227736,18437.5,144.70714285714323,19961.5,10.531615578261487,>2,0.005352726486790971,True,,,NO_TOUCH,,,,
1097,2022-11-09 18:30:00+00:00,1,0.5947932618683024,16502.3,326.5,18437.4,5.926799387442579,>2,0.023210783871325802,True,,,NO_TOUCH,,,,
1098,2022-11-10 06:45:00+00:00,1,3.59704746242398,16674.0,186.7642857142859,16993.0,1.7080353386621774,1-2,0.009605565843548547,True,2022-11-10 13:30:00+00:00,2022-11-10 13:30:00+00:00,ACCEPT,17349.1,-0.017669331089604837,True,-0.004623797989127709
1099,2022-11-10 18:45:00+00:00,1,-0.3578775411423033,17345.8,236.11428571428613,17987.0,2.715634075508227,>2,0.014298431337577355,True,2022-11-10 20:45:00+00:00,2022-11-10 20:45:00+00:00,ACCEPT,18101.2,-3.557175701839303,True,-0.07149276940844551
1100,2022-11-11 06:45:00+00:00,-1,3.305598243688254,17261.3,130.1428571428574,16880.0,2.9298572996706804,>2,-0.010696822563932784,False,2022-11-11 14:15:00+00:00,2022-11-11 14:15:00+00:00,ACCEPT,16440.7,-2.9997804610318104,False,0.007104766997359846
1101,2022-11-12 09:15:00+00:00,1,-0.949328392774442,16853.2,77.10714285714286,17145.0,3.784344603983316,>2,-0.002320610486377106,False,,,NO_TOUCH,,,,
1102,2022-11-13 07:00:00+00:00,-1,4.445804433564514,16742.4,52.52142857142878,16673.4,1.3137494900040747,1-2,-0.0012223209109816224,False,2022-11-13 07:00:00+00:00,2022-11-13 07:45:00+00:00,REJECT,16765.5,4.8856249150006335,True,-0.004788195720790256
1103,2022-11-13 19:00:00+00:00,-1,0.2117976099669726,16508.9,56.185714285714184,16413.8,1.692601067887151,1-2,0.002339390959638976,True,2022-11-13 21:00:00+00:00,2022-11-13 21:00:00+00:00,ACCEPT,16334.9,-2.8850750063564825,False,0.0035438308633253257
1104,2022-11-14 07:30:00+00:00,1,-1.9128937506330457,16820.0,211.56428571428543,16798.3,0.0,<=0.5,-0.022363610845276938,False,2022-11-14 07:30:00+00:00,2022-11-14 07:30:00+00:00,ACCEPT,16820.0,-1.9128937506330457,True,-0.007258050707394048
1105,2022-11-14 20:00:00+00:00,-1,-5.376218323586785,16244.9,106.26428571428512,16165.6,0.7462526046918034,0.5-1,-0.017685661012347254,False,,,NO_TOUCH,,,,
1106,2022-11-15 08:00:00+00:00,1,0.2111368909512644,16816.2,67.72857142857174,16931.8,1.7068129086690278,1-2,0.0074481469759959396,True,2022-11-15 08:15:00+00:00,2022-11-15 08:15:00+00:00,ACCEPT,16936.9,-1.5709765872179007,True,-0.0008261969649581147
1107,2022-11-15 22:15:00+00:00,1,-1.804801670146155,16858.0,82.11428571428534,17127.2,3.2783576896312,>2,-0.007989847163662134,False,,,NO_TOUCH,,,,
1108,2022-11-16 10:15:00+00:00,-1,3.1951852725985086,16709.8,60.528571428571276,16660.0,0.8227519471323951,0.5-1,0.009890649649623384,True,2022-11-16 11:45:00+00:00,2022-11-16 12:00:00+00:00,ACCEPT,16628.9,1.8586263865942931,False,0.018418071510987843
1109,2022-11-17 02:00:00+00:00,1,-2.2687576875769104,16654.9,69.68571428571418,16770.6,1.660311603115992,1-2,0.0013397379893440586,True,,,NO_TOUCH,,,,
1110,2022-11-17 16:00:00+00:00,-1,-2.395840676771248,16590.5,81.05714285714281,16403.3,2.309481847021512,>2,-0.009399217047196373,False,,,NO_TOUCH,,,,
1111,2022-11-18 04:00:00+00:00,1,-1.5543672014260206,16784.7,56.10000000000063,16984.4,3.559714795008886,>2,0.0006499614272339471,True,,,NO_TOUCH,,,,
